cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.523079991341,0,-0.20000000298,0,0,-0.20000000298,0,-0.20000000298,0,-0.52308,0,-0.52308,0,0,-0.00421921584824,-5.42478037477,0,-0.2,0,0,-0.52308,0,-1.45471412694e-11,3.63679208488e-09,-0.52308,-0.523080000011,-1.6448834841e-08,0,-0.568208155631,-0.00188033981794,-0.0451281556307,-0.00188033981794,5.19833872031,-0.2,-5.42478037477,-0.52308,-0.00421921584824,0,-0.00421921584824,0,0,0,4,0
0,0,2,0.778850018978,0,0.20000000298,0,0,0.20000000298,0,0.20000000298,0,0.77885,0,0.77885,0,0,0.00527401081489,1.41891908035,0,0.2,0,0,0.77885,0,1.81838988311e-11,-4.54597841752e-09,0.77885,0.778850000014,2.05610084822e-08,0,0.790653832904,0.000491826371007,0.0118038329042,0.000491826371007,-4.87277582942,0.2,1.41891908035,0.77885,0.00527401081489,0,0.00527401081489,0,0,0,4,0
1,0.002,1,-0.523083269596,0,-0.40000000596,0,0,-0.40000000596,0,-0.40000000596,0,-0.523080000011,-1.6448834841e-08,-0.523083274457,-0.00163722857486,-5.03693091969e-06,-0.00239534266574,-5.42479237927,-0.0544786733623,-0.4,0,0,-0.523059206645,0.0103966774406,-3.24645865746e-11,8.11614846324e-09,-0.523059206645,-0.523080000085,-6.1231497558e-08,0.0103966774406,-0.568208255506,-0.00188036042779,-0.0451490488608,-0.0122770378684,4.98869610093,-0.4,-5.47927105264,-0.523088311388,-0.0040325712406,-5.03693091969e-06,-0.00239534266574,3.27444607284e-06,0.00163721212603,0,4,0
1,0.002,2,0.778856277466,0,0.40000000596,0,0,0.40000000596,0,0.40000000596,0,0.778850000014,2.05610084822e-08,0.778856258709,0.00312935455325,4.13050826031e-06,0.00191135090002,1.41892283044,0.0510667951589,0.4,0,0,0.778830508897,-0.00974555165884,4.05807609738e-11,-1.01451883228e-08,0.778830508897,0.778850000106,7.65392414016e-08,-0.00974555165884,0.790653864115,0.000491848231872,0.0118233552179,0.0102373998907,-4.03394709791,0.4,1.4699896256,0.778860389217,0.00504070545327,4.13050826031e-06,0.00191135090002,-6.25869526039e-06,-0.00312933399224,0,4,0
2,0.004,1,-0.523093044758,0,-0.600000023842,0,0,-0.600000023842,0,-0.600000023842,0,-0.523080000085,-6.1231497558e-08,-0.523093059376,-0.00489245966379,-2.86283431128e-06,0.00135890351999,-5.42479958952,-0.0970628902761,-0.6,-1.63661121811e-05,-0.00204576402263,-0.523018458506,0.0203740696425,-4.19734247359e-11,1.04933563737e-08,-0.523034824618,-0.523080000267,-1.226475871e-07,0.0183283056198,-0.568189663299,-0.00187963053207,-0.0451548386806,-0.0202079361519,4.78145247368,-0.6,-5.51962032243,-0.523095922211,-0.0035335561438,-2.86283431128e-06,0.00135890351999,1.30592916343e-05,0.00489239843229,-0.00224215736881,4,0
2,0.004,2,0.77887493372,0,0.600000023842,0,0,0.600000023842,0,0.600000023842,0,0.778850000106,7.65392414016e-08,0.778874946864,0.00934407737879,-5.04413432456e-06,-0.00492713973262,1.41892511569,0.0826369291251,0.6,1.75098724485e-05,0.00218873405606,0.778794882005,-0.0178134458547,5.24665866308e-11,-1.31166453122e-08,0.778812391877,0.778850000334,1.5330922239e-07,-0.0156247117986,0.790633927425,0.000491073510874,0.0118215355478,0.0161157853095,-3.21059902452,0.6,1.49916319229,0.77886990273,0.00441693764617,-5.04413432456e-06,-0.00492713973262,-2.49467578106e-05,-0.00934400083955,0.00239885252544,4,0
3,0.006,1,-0.523112535477,0,-0.800000011921,0,0,-0.800000011921,0,-0.800000011921,0,-0.523080000267,-1.226475871e-07,-0.523112552772,-0.00974669778685,1.02582032834e-05,0.00693898178386,-5.42480030484,-0.125253114692,-0.8,-4.20545525816e-05,-0.00425439470161,-0.522979042197,0.0278912105672,-4.07868183672e-11,1.01966985532e-08,-0.523021096749,-0.523080000576,-1.85062752546e-07,0.0236368158656,-0.568168731682,-0.00187881978988,-0.0451476349326,-0.0255156356555,4.57697776824,-0.8,-5.5452943702,-0.523102294569,-0.002807716003,1.02582032834e-05,0.00693898178386,3.2552504873e-05,0.00974657513927,-0.00475904933259,4,0
3,0.006,2,0.778912127018,0,0.800000011921,0,0,0.800000011921,0,0.800000011921,0,0.778850000334,1.5330922239e-07,0.778912148329,0.0186007325573,-3.42801655513e-05,-0.0150910935396,1.41892539603,0.0917496629933,0.8,4.51638716483e-05,0.00457300426857,0.778768300058,-0.0220459098477,5.09834396922e-11,-1.27458711988e-08,0.778813463929,0.77885000072,2.31328046127e-07,-0.0174729055791,0.790611334895,0.000490208915914,0.0117978709652,0.017963114495,-2.40370416803,0.8,1.5055600883,0.778877868163,0.00350963901767,-3.42801655513e-05,-0.0150910935396,-6.21479950066e-05,-0.0186005792481,0.00511497072835,4,0
4,0.008,1,-0.523144900799,0,-1,0,0,-1,0,-1,0,-0.523080000576,-1.85062752546e-07,-0.523144915086,-0.0161811571736,3.786120975e-05,0.0142483377689,-5.42479400029,-0.13910645064,-1,-6.84982782476e-05,-0.00631335652616,-0.522955515207,0.0327907714021,-2.84383627758e-11,7.10958723709e-09,-0.523024013485,-0.523080000997,-2.31712083585e-07,0.0264774148759,-0.568148911476,-0.00187805635025,-0.0451248979911,-0.0283554712262,4.37520700972,-1,-5.55676511506,-0.523107053877,-0.00193281940471,3.786120975e-05,0.0142483377689,6.49145102749e-05,0.0161809721108,-0.00713533586513,4,0
4,0.008,2,0.77897387743,0,1,0,0,1,0,1,0,0.77885000072,2.31328046127e-07,0.778973861097,0.0308563838328,-9.00438085132e-05,-0.0284403636977,1.41892349354,0.0781764741343,1,7.38799724782e-05,0.00681846912347,0.778768903302,-0.0222803139151,3.55477869363e-11,-8.88695352831e-09,0.778842783274,0.778850001246,2.89639610469e-07,-0.0154618447917,0.790589773044,0.000489388508201,0.0117469897699,0.0159512332999,-1.61273607359,1,1.48939493888,0.778883817288,0.00241602013509,-9.00438085132e-05,-0.0284403636977,-0.000123860376491,-0.0308561525048,0.00770502879321,4,0
5,0.01,1,-0.523193240166,0,-1.20000004768,0,0,-1.20000004768,0,-1.20000004768,0,-0.523080000997,-2.31712083585e-07,-0.523193269573,-0.0241772431982,8.32962634089e-05,0.0231983851214,-5.42478114414,-0.139220140083,-1.2,-9.24878307521e-05,-0.00819896072734,-0.522953557827,0.0352278288954,-5.98521232575e-12,1.49630517091e-09,-0.523046045658,-0.523080001482,-2.47060544964e-07,0.027028868168,-0.568130724015,-0.00187734517116,-0.045084678357,-0.0289062133392,4.17599922832,-1.2,-5.55469246953,-0.523109973309,-0.000978858076791,8.32962634089e-05,0.0231983851214,0.000113268575905,0.0241770114861,-0.00930881469637,4,0
