cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_applied,tau_dist,tau_total,disturbance_scale,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_shaped,dq_error_shaped,kp_cmd,kd_cmd,tau_cmd,debug_9,debug_10,debug_11,debug_12,debug_13,debug_14,debug_15,debug_16,debug_17,debug_18,debug_19,debug_20,debug_21,debug_22,debug_23,debug_24,debug_25,debug_26,debug_27,debug_28,debug_29,debug_30,debug_31,debug_32,flags,joint_flags
0,0,1,-0.485900014639,0,0,120,5,-1.75666809099e-06,0,-1.75666809099e-06,0,-0.4859,0,-0.4859,0,0,0,120,5,0,-0.4859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
0,0,2,0.267625004053,0,0,120,5,4.86373901154e-07,0,4.86373901154e-07,0,0.267625,0,0.267625,0,0,0,120,5,0,0.267625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,0.002,1,-0.485900014639,-7.97280075293e-10,0,120,5,-1.70630903582e-06,0,-1.70630903582e-06,0,-0.4859,-7.9728006654e-10,-0.485900000021,-1.03712706583e-08,2.04235517387e-11,9.57399059174e-09,120,5,0,-0.485900239312,-0.000358967479281,-2.39290910309e-07,-0.00035895710801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
1,0.002,2,0.267625004053,-9.9660013575e-10,0,120,5,4.09419137108e-07,0,4.09419137108e-07,0,0.267625,-9.9660008632e-10,0.267625000027,1.37350693787e-08,-2.78688183641e-11,-1.47316694651e-08,120,5,0,0.26762470086,-0.00044870935049,-2.99167037143e-07,-0.00044872308556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,0.004,1,-0.485900014639,-1.15724443361e-08,0,120,5,-1.70684179388e-06,0,-1.70684179388e-06,0,-0.48590000001,-1.15724441423e-08,-0.485900000061,-2.00762248213e-08,5.12820896859e-11,8.50378067896e-09,120,5,0,-0.485901804017,-0.0012701562578,-1.80395655497e-06,-0.00127013618158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2,0.004,2,0.267625004053,-1.44655549761e-08,0,120,5,2.74519041064e-07,0,2.74519041064e-07,0,0.267624999988,-1.44655552058e-08,0.267625000079,2.59982186428e-08,-9.1482710296e-11,-4.04637738486e-08,120,5,0,0.267622744978,-0.00158769532478,-2.25510128443e-06,-0.001587721323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,0.006,1,-0.485900014639,-5.13927282952e-08,0,120,5,-1.85368083645e-06,0,-1.85368083645e-06,0,-0.485900000066,-5.13927285521e-08,-0.485900000119,-2.91304387581e-08,5.32118238361e-11,-2.2262289794e-08,120,5,0,-0.485905502671,-0.00245544616484,-5.50255161386e-06,-0.0024554170344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
3,0.006,2,0.267625004053,-6.42409077045e-08,0,120,5,-3.42587778235e-08,0,-3.42587778235e-08,0,0.267624999918,-6.42409107633e-08,0.267625000152,3.62389597903e-08,-2.34374519792e-10,-1.00479870554e-07,120,5,0,0.267618121662,-0.00306930770868,-6.87849041708e-06,-0.00306934394764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4,0.008,1,-0.485900014639,-1.41492705552e-07,0,120,5,-2.25315926219e-06,0,-2.25315926219e-06,0,-0.485900000249,-1.414927117e-07,-0.485900000194,-3.75331399916e-08,-5.45672396157e-11,-1.03959571709e-07,120,5,0,-0.485911682772,-0.00372619074225,-1.16825776674e-05,-0.00372615320911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
4,0.008,2,0.267625004053,-1.76865896151e-07,0,120,5,-6.40153107394e-07,0,-6.40153107394e-07,0,0.267624999689,-1.76865889772e-07,0.267625000237,4.2741257019e-08,-5.4841375885e-10,-2.19607146791e-07,120,5,0,0.267610396535,-0.00465773843069,-1.4603702305e-05,-0.00465778117195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
