cycle,t,joint_id,motor_q,motor_dq,motor_tau,motor_kp,motor_kd,tau_controller,tau_disturbance,tau_before_limit,tau_sent,tau_limit,saturation_flag,q_ref_shaped,dq_ref_shaped,q_actual,dq_actual,q_error_raw,dq_error_raw,u_star,u_feedback,u_t,eta_q,eta_dq,x_hat_q,x_hat_dq,rho_q,rho_dq,x_bar_q,q_ref_shaped_next,dq_ref_shaped_next,x_bar_dq,r_d_q,r_d_dq,e_q,e_dq,observer_qacc,observer_tau_applied,u_raw,q_ref_raw,dq_ref_raw,q_error_raw2,dq_error_raw2,q_error_shaped,dq_error_shaped,eta_u,flags,joint_flags
0,0,1,-0.40000000596,0,-3.54111385345,0,0,-3.54111385345,0,-3.54111385345,-3.54111385345,200,0,-0.4,-1.8927545136e-05,-0.4,0,0,-1.8927545136e-05,-3.54105698541,-5.67826354081e-05,-3.54111376805,-0.4,0,0,0,7.3644401688e-10,-1.8411100265e-07,-0.4,-0.400000037285,-1.80902511074e-05,0,-0.429490376726,-0.000756186963293,-0.0294903767263,-0.000756186963293,0.00025126439496,-3.54111376805,-3.54111376805,-0.4,-1.8927545136e-05,0,-1.8927545136e-05,0,-1.8927545136e-05,0,0,0
0,0,2,0.829999983311,0,1.64295756817,0,0,1.64295756817,0,1.64295756817,1.64295756817,300,0,0.83,1.51420361176e-05,0.83,0,0,1.51420361176e-05,1.64289703937,6.05681444702e-05,1.64295760751,0.83,0,0,0,-5.89155280117e-10,1.47288806753e-07,0.83,0.830000029828,1.44722008942e-05,0,0.853393570536,0.00135191749533,0.0233935705362,0.00135191749533,4.13878544308e-05,1.64295760751,1.64295760751,0.83,1.51420361176e-05,0,1.51420361176e-05,0,1.51420361176e-05,0,0,0
1,0.002,1,-0.400045067072,0,-3.54052472115,0,0,-3.54052472115,0,-3.54052472115,-3.54052472115,200,0,-0.400000037285,-1.80902511074e-05,-0.400045065747,-0.022532873483,4.50284617978e-05,0.0225147832319,-3.54046428153,-6.03731667907e-05,-3.5405246547,0,0,-0.399999998995,5.0252878992e-07,1.62606894616e-09,-4.06517237053e-07,-0.399999998995,-0.400000071428,-1.58516524891e-05,5.0252878992e-07,-0.429485477898,-0.000755226266416,-0.0294854789026,-0.000755728795206,0.000836881527596,-3.5405246547,-3.5405246547,-0.400000037285,-1.80902511074e-05,4.50284617978e-05,0.0225147832319,4.50284617978e-05,0.0225147832319,0,0,0
1,0.002,2,0.830063819885,0,1.64283812046,0,0,1.64283812046,0,1.64283812046,1.64283812046,300,0,0.830000029828,1.44722008942e-05,0.830063812153,0.0319060763973,-6.37823246601e-05,-0.0318916041964,1.64277853917,5.96340815631e-05,1.64283817325,0,0,0.830000000166,8.27757088616e-08,-1.30085520134e-09,3.25213798363e-07,0.830000000166,0.830000057142,1.26813219984e-05,8.27757088616e-08,0.853391913014,0.00135115124009,0.0233919128484,0.00135106846438,-0.00043639957162,1.64283817325,1.64283817325,0.830000029828,1.44722008942e-05,-6.37823246601e-05,-0.0318916041964,-6.37823246601e-05,-0.0318916041964,0,0,0
2,0.004,1,-0.40013474226,0,-3.52549290657,0,0,-3.52549290657,0,-3.52549290657,-3.52549290657,200,0,-0.400000071428,-1.58516524891e-05,-0.400134735552,-0.0448349023869,0.000134664124163,0.0448190507345,-3.54003132749,0.0121047249872,-3.52549299789,0,-0.00405600768212,-0.399999994642,2.17629184511e-06,2.26373031431e-09,-5.65932581281e-07,-0.399999994642,-0.400000100014,-1.25955090443e-05,-0.00405383139028,-0.429461638972,-0.000752390841096,-0.0294616443295,0.00330144054918,0.0198262375771,-3.52549299789,-3.52549299789,-0.400000071428,-1.58516524891e-05,0.000134664124163,0.0448190507345,0.000134664124163,0.0448190507345,-0.00243360460927,0,0
2,0.004,2,0.830190479755,0,1.61518216133,0,0,1.61518216133,0,1.61518216133,1.61518216133,300,0,0.830000057142,1.26813219984e-05,0.830190502634,0.063345240739,-0.000190445492211,-0.063332559417,1.64269100294,-0.0229143310669,1.61518220879,0,0.00574307885189,0.829999998586,-7.90023434378e-07,-1.81098425145e-09,4.52746070602e-07,0.829999998586,0.830000080011,1.00764072409e-05,0.00574228882846,0.853325272315,0.00134555076045,0.0233252737294,-0.00439673806801,-0.133949800642,1.61518220879,1.61518220879,0.830000057142,1.26813219984e-05,-0.000190445492211,-0.063332559417,-0.000190445492211,-0.063332559417,0.00459446308151,0,0
3,0.006,1,-0.400268226862,0,-3.49890208244,0,0,-3.49890208244,0,-3.49890208244,-3.49890208244,200,0,-0.400000100014,-1.25955090443e-05,-0.400268225053,-0.0667447504219,0.000268125038393,0.0667321549129,-3.53974385925,0.0361940891809,-3.49890205394,0,-0.00774619354761,-0.400008023,-0.00401417891512,2.67268651655e-09,-6.68171625637e-07,-0.400008023,-0.400000121365,-8.67069328498e-06,-0.0117603724627,-0.429440834081,-0.000748613860724,-0.0294328110812,0.011011758602,0.0540744742237,-3.49890205394,-3.49890205394,-0.400000100014,-1.25955090443e-05,0.000268125038393,0.0667321549129,0.000268125038393,0.0667321549129,-0.00464771612857,0,0
3,0.006,2,0.8303784132,0,1.56748819351,0,0,1.56748819351,0,1.56748819351,1.56748819351,300,0,0.830000080011,1.00764072409e-05,0.830378387226,0.0939422957327,-0.000378307214386,-0.0939322193254,1.64263182031,-0.0663893228786,1.56748822605,0,0.0109428392291,0.830010947364,0.00547438922718,-2.13814910222e-09,5.34537277159e-07,0.830010947364,0.830000097092,6.93655463142e-06,0.0164172284563,0.853265220049,0.00133951298082,0.0232542726851,-0.0150777154754,-0.367476927822,1.56748822605,1.56748822605,0.830000080011,1.00764072409e-05,-0.000378307214386,-0.0939322193254,-0.000378307214386,-0.0939322193254,0.00875427138327,0,0
4,0.008,1,-0.400444507599,0,-3.46249365807,0,0,-3.46249365807,0,-3.46249365807,-3.46249365807,200,0,-0.400000121365,-8.67069328498e-06,-0.400444510732,-0.0881428397068,0.000444389367391,0.0881341690135,-3.53958758923,0.0706908105386,-3.46249369426,0,-0.0106718073874,-0.400031327447,-0.0116522235143,2.87619544848e-09,-7.19048855813e-07,-0.400031327447,-0.400000134461,-4.39119047184e-06,-0.0223240309017,-0.429424935063,-0.000744291035737,-0.0293936076155,0.021579739866,0.101169595947,-3.46249369426,-3.46249369426,-0.400000121365,-8.67069328498e-06,0.000444389367391,0.0881341690135,0.000444389367391,0.0881341690135,-0.00640308443245,0,0
4,0.008,2,0.830625236034,0,1.50470769405,0,0,1.50470769405,0,1.50470769405,1.50470769405,300,0,0.830000097092,6.93655463142e-06,0.830625241464,0.123427119036,-0.000625144372125,-0.123420182482,1.64259835557,-0.125851573818,1.50470774493,0,0.0150487960327,0.830042311913,0.0156822746006,-2.30095642539e-09,5.75239095341e-07,0.830042311913,0.830000107569,3.51295237871e-06,0.0307310706333,0.853217988123,0.00133367318502,0.0231756762103,-0.0293973974483,-0.676215405519,1.50470774493,1.50470774493,0.830000097092,6.93655463142e-06,-0.000625144372125,-0.123420182482,-0.000625144372125,-0.123420182482,0.0120390368261,0,0
